ID,Software,Link,Evaluator1,Evaluator2,Evaluator3,Final Decision
C80,Apache httpd,https://stackoverflow.com/questions/548493/jcc-initvm-doesnt-return-when-mod-wsgi-is-configured-as-daemon-mode,Exclude,Exclude,,Exclude
C81,Apache httpd,https://stackoverflow.com/questions/589368/how-to-redirect-different-sub-domain-requests-to-different-port,Exclude,Exclude,,Exclude
C82,Apache httpd,https://stackoverflow.com/questions/647005/workflow-for-configuring-apache-on-a-webfaction-account-via-ssh-and-ftp-django,Exclude,Exclude,,Exclude
C83,Apache httpd,https://stackoverflow.com/questions/658535/mod-rewrite-rule-to-check-for-maintenance-page-except-for-certain-subdomains,Exclude,Exclude,,Exclude
C84,Apache httpd,https://stackoverflow.com/questions/678775/use-server-settings-to-force-ie-to-open-word-documents-in-word-and-not-in-ie,Exclude,Exclude,,Exclude
C85,Apache httpd,https://stackoverflow.com/questions/710402/apache-how-to-limit-virtual-dir-to-local-network,Exclude,Exclude,,Exclude
C86,Apache httpd,https://stackoverflow.com/questions/741424/document-ready-not-executing-on-every-load,Exclude,Exclude,,Exclude
C87,Apache httpd,https://stackoverflow.com/questions/764312/how-do-i-modify-sys-path-from-htaccess-to-allow-mod-python-to-see-django,Exclude,Exclude,,Exclude
C88,Apache httpd,https://stackoverflow.com/questions/803915/cannot-get-started-with-mod-rewrite,Exclude,Exclude,,Exclude
C89,Apache httpd,https://stackoverflow.com/questions/807477/configuring-subversion-to-use-system-users-passwords,Exclude,Exclude,,Exclude
C90,Apache httpd,https://stackoverflow.com/questions/809909/basic-apache-server-mapping-127-0-0-1-to-10-0-0-78000,Exclude,Exclude,,Exclude
C91,Apache httpd,https://stackoverflow.com/questions/818403/configure-apache-to-forward-dynamic-page-requests-to-tomcat-in-friendly-url-scen,Exclude,Exclude,,Exclude
C92,Apache httpd,https://stackoverflow.com/questions/821820/how-does-phusion-passenger-reuse-threads-and-processes,Exclude,Exclude,,Exclude
C93,Apache httpd,https://stackoverflow.com/questions/831119/how-do-i-set-x-ua-compatible-header-to-ie-emulateie7-for-ie-8-browsers-using-apa,Exclude,Exclude,,Exclude
C94,Apache httpd,https://stackoverflow.com/questions/881319/having-a-cgi-script-catch-all-requests-to-a-domain-with-apache,Exclude,Exclude,,Exclude
C95,Apache httpd,https://stackoverflow.com/questions/901097/set-charset-in-rails-application,Exclude,Exclude,,Exclude
C96,Apache httpd,https://stackoverflow.com/questions/919008/ec2onrails-ssl-apache-no-response-on-port-443,Exclude,Exclude,,Exclude
C97,Apache httpd,https://stackoverflow.com/questions/946745/mercurial-push-abort-authorization-failed,Exclude,Exclude,,Exclude
C98,Apache httpd,https://stackoverflow.com/questions/959016/howto-transfer-a-request-made-to-an-apache-server-to-an-iis-server-without-using,Exclude,Exclude,,Exclude
C99,Apache httpd,https://stackoverflow.com/questions/966907/specify-smtp-server-for-php-mail-in-freebsd,Exclude,Exclude,,Exclude
C100,Apache httpd,https://stackoverflow.com/questions/972629/mono-mod-mono-apache-httpd-on-fedora-10-failing-to-start-correctly,Exclude,Exclude,,Exclude
C101,Apache httpd,https://stackoverflow.com/questions/984834/map-virtual-directory-to-another-web-server-in-apache,Exclude,Exclude,,Exclude
C102,Apache httpd,https://stackoverflow.com/questions/991794/help-diagnosing-a-subversion-error,Exclude,Exclude,,Exclude
C103,Apache httpd,https://stackoverflow.com/questions/1028408/is-there-a-python-interface-to-the-apache-scoreboard-for-server-statistics,Exclude,Exclude,,Exclude
C104,Apache httpd,https://stackoverflow.com/questions/998409/mac-os-built-svn-from-source-now-apache2-not-loading-sites,Exclude,Exclude,,Exclude
C105,Apache httpd,https://stackoverflow.com/questions/1055045/apache-on-windows-and-fiddler,Exclude,Exclude,,Exclude
C106,Apache httpd,https://stackoverflow.com/questions/1095167/apache-2-joomla-1-0-x-configuration-causes-malformed-response-in-ie-6,Exclude,Exclude,,Exclude
C107,Apache httpd,https://stackoverflow.com/questions/1109241/502-bad-gateway-invalid-response-from-upstream-server-apache-and-jboss,Exclude,Exclude,,Exclude
C108,Apache httpd,https://stackoverflow.com/questions/1112387/problem-enabling-htaccess,Exclude,Exclude,,Exclude
C109,Apache httpd,https://stackoverflow.com/questions/1223754/diff-in-mod-rewrite-on-apache-1-3-and-2-2,Exclude,Exclude,,Exclude
C110,Apache httpd,https://stackoverflow.com/questions/1225594/apache-13-permission-denied-in-users-home-directory,Exclude,Exclude,,Exclude
C111,Apache httpd,https://stackoverflow.com/questions/1324594/flex-reverse-proxy-issues,Exclude,Exclude,,Exclude
C112,Apache httpd,https://stackoverflow.com/questions/1508406/mod-python-produces-no-output,Exclude,Exclude,,Exclude
C113,Apache httpd,https://stackoverflow.com/questions/1635921/my-cgi-script-cant-write-to-cgi-bin-folder-of-apache,Exclude,Exclude,,Exclude
C114,Apache httpd,https://stackoverflow.com/questions/1695407/htaccess-not-working,Exclude,Exclude,,Exclude
C115,Apache httpd,https://stackoverflow.com/questions/1717946/cant-call-method-dir-path-on-an-undefined-value-when-running-mason-componen,Exclude,Exclude,,Exclude
C116,Apache httpd,https://stackoverflow.com/questions/1910857/apache-velocity-is-there-a-standard-way-of-verifying-the-correctness-of-a-templ,Exclude,Exclude,,Exclude
C117,Apache httpd,https://stackoverflow.com/questions/4270921,Include,Include,,Include
C118,Apache httpd,https://serverfault.com/questions/146589/apache-virtual-host-issue,Include,Include,,Include
C119,Apache httpd,https://serverfault.com/questions/128809/apache-error-with-suexec-only,Include,Exclude,Include,Include
C120,Apache httpd,https://serverfault.com/questions/128809/apache-error-with-suexec-only,Include,Exclude,Exclude,Exclude
C121,Apache httpd,https://serverfault.com/questions/176771/apache2-virtual-host-in-a-vm-trouble-accessing-from-host-machine,Include,Include,,Include
C122,Apache httpd,http://serverfault.com/questions/105670/xampp-apache-server-not-working-on-internal-network,Include,Include,,Include
C123,Apache httpd,http://serverfault.com/questions/216771/apache-named-virtual-hosts-and-https,Include,Include,,Include
C124,Apache httpd,http://serverfault.com/questions/115183/ubuntu-server-mod-chroot-apache2-problem,Include,Include,,Include
C125,Apache httpd,https://serverfault.com/questions/101164/apache2-could-not-reliably-determine-the-servers-fully-qualified-domain-name,Include,Include,,Include
C126,Apache httpd,https://serverfault.com/questions/178929/php-path-info-issues,Include,Include,,Include
C127,Apache httpd,https://serverfault.com/questions/206024/apache-virtualhost-and-modproxy-not-working-as-hoped,Include,Include,,Include
C128,Apache httpd,http://serverfault.com/questions/100519/how-can-i-prevent-users-from-seeing-my-php-source-code,Include,Include,,Include
C129,Apache httpd,http://serverfault.com/questions/163412/seperate-server-logs,Include,Include,,Include
C130,Apache httpd,http://serverfault.com/questions/213424/how-to-stop-mod-deflate-from-logging-to-my-php-error-log,Include,Include,,Include
C131,Apache httpd,http://serverfault.com/questions/155825/starting-apache-2-at-boot-on-mac-os-x-server-10-6,Include,Include,,Include
C132,Apache httpd,http://serverfault.com/questions/120511/apache-permission-errors,Include,Include,,Include
C133,Apache httpd,https://serverfault.com/questions/162802/apache-httpd-client-denied-by-server-configuration-htaccess-even-when-htac,Include,Include,,Include
C134,Apache httpd,https://stackoverflow.com/questions/3584713,Include,Include,,Include
C135,Apache httpd,https://serverfault.com/questions/146589/apache-virtual-host-issue?r=SearchResults,Include,Exclude,Exclude,Exclude
C136,Apache httpd,https://stackoverflow.com/questions/1988267/apache-options-indexes-configuration-not-working,Exclude,Exclude,,Exclude
C137,Apache httpd,https://stackoverflow.com/questions/2011657/apache-rewrite-rule-problems,Exclude,Exclude,,Exclude
C138,Apache httpd,https://stackoverflow.com/questions/2020418/apache-mod-rewrite,Exclude,Exclude,,Exclude
C139,Apache httpd,https://stackoverflow.com/questions/2032964/location-of-web-app-on-my-server-and-apache,Exclude,Exclude,,Exclude
C140,Apache httpd,https://stackoverflow.com/questions/2040802/how-to-setup-apache-redirect-or-custom-401-document-on-kerberos-sso-login-failur,Exclude,Exclude,,Exclude
C141,Apache httpd,https://stackoverflow.com/questions/2053631/duplex-or-request-reply-with-apache-activemq-wcf-binding-configuration-question,Exclude,Exclude,,Exclude
C142,Apache httpd,https://stackoverflow.com/questions/2100058/tomcat-serving-urls-wrong-with-mod-proxy-and-apache,Exclude,Exclude,,Exclude
C143,Apache httpd,https://stackoverflow.com/questions/2115164/why-use-apache-over-nginx-cherokee-lighttpd,Exclude,Exclude,,Exclude
C144,Apache httpd,https://stackoverflow.com/questions/2131417/using-python-like-php-in-apache-windows,Exclude,Exclude,,Exclude
C145,Apache httpd,https://stackoverflow.com/questions/2176172/django-admin-authentication-failure,Exclude,Exclude,,Exclude
C146,Apache httpd,https://stackoverflow.com/questions/2181153/deploy-rails-app-to-non-root-context-restful-auth-not-working,Exclude,Exclude,,Exclude
C147,Apache httpd,https://stackoverflow.com/questions/2204655/question-on-running-mod-perl-apache-windows,Exclude,Exclude,,Exclude
C148,Apache httpd,https://stackoverflow.com/questions/2240682/htaccess-port-redirection-with-apache,Exclude,Exclude,,Exclude
C149,Apache httpd,https://stackoverflow.com/questions/2254203/apache-root-relative-links,Exclude,Exclude,,Exclude
C150,Apache httpd,https://stackoverflow.com/questions/2270364/what-is-apache-htaccess-configuration-to-require-authentication-for-all-except-f,Exclude,Exclude,,Exclude
C151,Apache httpd,https://stackoverflow.com/questions/2289225/how-to-override-default-permissions-for-files-stored-by-apache-php-in-tmp,Exclude,Exclude,,Exclude
C152,Apache httpd,https://stackoverflow.com/questions/2291662/apache-406-not-acceptable-php-problem,Exclude,Exclude,,Exclude
C153,Apache httpd,https://stackoverflow.com/questions/2309496/php-print-arabic-string,Exclude,Exclude,,Exclude
C154,Apache httpd,https://stackoverflow.com/questions/2316610/php-files-are-downloaded-by-browser-instead-of-processed-by-local-dev-server-ma,Exclude,Exclude,,Exclude
C155,Apache httpd,https://stackoverflow.com/questions/2318649/ip-based-virtualhost-and-apache,Exclude,Exclude,,Exclude
C156,Apache httpd,https://stackoverflow.com/questions/2357174/how-do-you-create-subdomains-using-php-is-is-possible-on-shared-hosting,Exclude,Exclude,,Exclude
C157,Apache httpd,https://stackoverflow.com/questions/2374806/apache-url-redirect,Exclude,Exclude,,Exclude
C158,Apache httpd,https://stackoverflow.com/questions/2377621/getting-basic-information-when-taking-over-administration-of-a-server,Exclude,Exclude,,Exclude
C159,Apache httpd,https://stackoverflow.com/questions/2378871/set-application-env-via-virtual-host-config-and-read-this-in-php,Exclude,Exclude,,Exclude
C160,Apache httpd,https://stackoverflow.com/questions/2386089/using-autotools-for-a-lamp-application,Exclude,Exclude,,Exclude
C161,Apache httpd,https://stackoverflow.com/questions/2389418/apache-multiple-in-query-string-internal-server-error-error-500,Exclude,Exclude,,Exclude
C162,Apache httpd,https://stackoverflow.com/questions/2394532/apache-is-unable-to-initialize-module-because-of-modules-and-phps-api-dont,Exclude,Exclude,,Exclude
C163,Apache httpd,https://stackoverflow.com/questions/2401022/mod-rewrite-and-relative-urls,Exclude,Exclude,,Exclude
C164,Apache httpd,https://stackoverflow.com/questions/2410397/apache-rewrite-directory-tree-to-subdomain-directory,Exclude,Exclude,,Exclude
C165,Apache httpd,https://stackoverflow.com/questions/2427874/can-i-turn-off-an-apache-directive-then-turn-it-on-in-an-include,Exclude,Exclude,,Exclude
C166,Apache httpd,https://stackoverflow.com/questions/2428563/how-can-i-prevent-apache2-from-setting-the-content-type-header,Exclude,Exclude,,Exclude
C167,Apache httpd,https://stackoverflow.com/questions/2439539/getting-ssl-to-work-with-apache-passenger-on-osx,Exclude,Exclude,,Exclude
C168,Apache httpd,https://stackoverflow.com/questions/2457974/apache-rewrite-request-using-a-different-forward-proxy,Exclude,Exclude,,Exclude
C169,Apache httpd,https://stackoverflow.com/questions/2479346/502-bad-gateway-with-nginx-apache-subversion-ssl-svn-copy,Exclude,Exclude,,Exclude
C170,Apache httpd,https://stackoverflow.com/questions/2528266/how-to-benchmark-apache-nginx-setup,Exclude,Exclude,,Exclude
C171,Apache httpd,https://stackoverflow.com/questions/2538723/ssl-received-a-record-that-exceeded-the-maximum-permissible-length-error-code,Exclude,Exclude,,Exclude
C172,Apache httpd,https://stackoverflow.com/questions/2547400/how-do-you-fix-an-svn-409-conflict-error,Exclude,Exclude,,Exclude
C173,Apache httpd,https://stackoverflow.com/questions/2581474/use-multiple-wsgi-mount-points-in-apache-with-an-nginx-reverse-proxy,Exclude,Exclude,,Exclude
C174,Apache httpd,https://stackoverflow.com/questions/2587251/configuration-problems-with-django-and-mod-wsgi,Exclude,Exclude,,Exclude
C175,Apache httpd,https://stackoverflow.com/questions/2618818/can-i-force-apache-2-2-connection-close-from-inside-a-c-module,Exclude,Exclude,,Exclude
C176,Apache httpd,https://stackoverflow.com/questions/2626507/limit-apache-to-1-request-per-process,Exclude,Exclude,,Exclude
C177,Apache httpd,https://stackoverflow.com/questions/2658173/set-up-apache-virtualhost-on-windows,Exclude,Exclude,,Exclude
C178,Apache httpd,https://stackoverflow.com/questions/2199346/java-tomcat-web-form-submission-tries-to-download-foo-do-entry-text-x-server-par,Exclude,Exclude,,Exclude
C179,Apache httpd,https://stackoverflow.com/questions/2531895/application-error-passthru-when-using-apache-mod-proxy,Exclude,Exclude,,Exclude
C180,Apache httpd,https://stackoverflow.com/questions/2828809/internal-server-error-the-server-encountered-an-internal-error-or-misconfigurat,Exclude,Exclude,,Exclude
C181,Apache httpd,https://stackoverflow.com/questions/3838951/configuring-apache-subversion-with-websvn,Exclude,Exclude,,Exclude
C182,Apache httpd,https://stackoverflow.com/questions/4404732/apache-restart-on-ubuntu-error-could-not-bind-to-address-0-0-0-0-80,Exclude,Exclude,,Exclude
C183,Apache httpd,https://stackoverflow.com/questions/2034879/how-to-deploy-django-application-at-sub-url,Exclude,Exclude,,Exclude
C184,Apache httpd,https://stackoverflow.com/questions/2062566/should-mod-proxy-ajp-or-mod-jk-be-used-for-a-production-environment,Exclude,Exclude,,Exclude
C185,Apache httpd,https://stackoverflow.com/questions/2084301/listen-port-843-and-server-crossdomain-xml-from-httpd-conf,Exclude,Exclude,,Exclude
C186,Apache httpd,https://stackoverflow.com/questions/2201316/eclipse-dynamic-web-project-mappingnotfoundexception,Exclude,Exclude,,Exclude
C187,Apache httpd,https://stackoverflow.com/questions/2222429/apache-tiles-2-1-4-with-css,Exclude,Exclude,,Exclude
C188,Apache httpd,https://stackoverflow.com/questions/2227942/im-confused-with-apache-vhost,Exclude,Exclude,,Exclude
C189,Apache httpd,https://stackoverflow.com/questions/2324661/problem-compiling-mod-wsgi-on-solaris-10-with-cool-stack-1-3-1,Exclude,Exclude,,Exclude
C190,Apache httpd,https://stackoverflow.com/questions/2355288/how-to-configure-apache-ubuntu-such-that-www-mysite-com-will-direct-to-www-mys,Exclude,Exclude,,Exclude
C191,Apache httpd,https://stackoverflow.com/questions/2376768/apache-using-python-2-4-python-2-5-scripts-failing,Exclude,Exclude,,Exclude
C192,Apache httpd,https://stackoverflow.com/questions/2385248/how-to-block-all-connection-in-squid,Exclude,Exclude,,Exclude
C193,Apache httpd,https://stackoverflow.com/questions/2480447/how-can-i-test-caching-and-cache-busting,Exclude,Exclude,,Exclude
C194,Apache httpd,https://stackoverflow.com/questions/2500409/how-to-bind-an-ip-and-ports-to-subdomains-using-jboss-or-apache-tomcat,Exclude,Exclude,,Exclude
C195,Apache httpd,https://stackoverflow.com/questions/2505864/cannot-load-http-localhost-phptest8080,Exclude,Exclude,,Exclude
C196,Apache httpd,https://stackoverflow.com/questions/2569703/httphandler-to-handle-all-kinds-of-urls-in-mono-apache-xsp-in-order-to-build-a,Exclude,Exclude,,Exclude
C197,Apache httpd,https://stackoverflow.com/questions/2576531/installing-subversion-on-top-of-already-installed-apache,Exclude,Exclude,,Exclude
C198,Apache httpd,https://stackoverflow.com/questions/2654544/configure-mod-rewrite-to-allow-img-js-and-css-files,Exclude,Exclude,,Exclude
C199,Apache httpd,https://stackoverflow.com/questions/2687730/how-can-i-make-php-display-the-error-instead-of-giving-me-500-internal-server-er,Exclude,Exclude,,Exclude
C200,Apache httpd,https://stackoverflow.com/questions/2695108/apache2-httpd-conf-help,Exclude,Exclude,,Exclude
C201,Apache httpd,https://stackoverflow.com/questions/2711248/how-do-i-edit-htaccess-to-allow-both-rails-and-wordpress-requests,Exclude,Exclude,,Exclude
C202,Apache httpd,https://serverfault.com/questions/219436/500-error-after-creating-htpasswd-and-edit-htaccess,Include,Include,,Include
C203,Apache httpd,https://serverfault.com/questions/234787/why-apache-throws-403-on-index-file-after-install,Include,Include,,Include
C204,Apache httpd,https://serverfault.com/questions/294725/php-serving-blank-pages-to-1-of-users,Include,Include,,Include
C205,Apache httpd,https://serverfault.com/questions/296997/completely-random-403-errors-despite-explicit-allow-from-all,Include,Include,,Include
C206,Apache httpd,https://serverfault.com/questions/325889/access-denied-for-php-files-only,Include,Include,,Include
C207,Apache httpd,https://serverfault.com/questions/229875/install-mod-perl2-on-apache-2-2-14-ubuntu10-04,Include,Include,,Include
C208,Apache httpd,https://serverfault.com/questions/229202/apache2-mod-proxy-in-conjuction-with-mod-rewrite-not-working-as-expected,Include,Include,,Include
C209,Apache httpd,https://serverfault.com/questions/233607/php-ini-does-not-load,Include,Include,,Include
C210,Apache httpd,http://serverfault.com/questions/218961/mindtouch-broke-my-apache2-virtual-host-configuration,Include,Include,,Include
C211,Apache httpd,http://serverfault.com/questions/342322/why-isnt-excluding-a-folder-in-mod-rewrite-not-taken-in-account,Include,Include,,Include
C212,Apache httpd,https://serverfault.com/questions/258848/i-cant-get-ruby-on-rails-passenger-apache-to-work,Include,Include,,Include
